CD_CANAL_SAP;DS_CANAL_BOV;(No column name)
0001050436;FRANQUIAS EMP;1
0001050439;FRANQUIAS EMP;1
0001062768;FRANQUIAS EMP;2
0001064591;FRANQUIAS EMP;5
0001064666;FRANQUIAS EMP;14
0001065346;FRANQUIAS EMP;10
1049366;FRANQUIAS EMP;17
1051802;FRANQUIAS EMP;2
1051983;FRANQUIAS EMP;1
1064594;FRANQUIAS EMP;2
1064608;FRANQUIAS EMP;15
1065346;FRANQUIAS EMP;2
1065454;FRANQUIAS EMP;16
0001051882;OUTROS;3
0001053946;OUTROS;2
0001063950;OUTROS;1
0001065129;OUTROS;1
0001065202;OUTROS;1
0001065247;OUTROS;17
0001065380;OUTROS;21
0001065382;OUTROS;1
0001065383;OUTROS;35
0001065416;OUTROS;4
0001065428;OUTROS;6
1064595;OUTROS;4
1064758;OUTROS;3
1065078;OUTROS;6
1065345;OUTROS;4
1065380;OUTROS;2
1065382;OUTROS;18
1065422;OUTROS;4
1065451;OUTROS;1
0001037109;PAP;104
0001040069;PAP;32
0001044873;PAP;154
0001051921;PAP;7
0001053945;PAP;35
0001054742;PAP;135
0001055955;PAP;20
0001062799;PAP;51
0001063024;PAP;2
0001063729;PAP;1
0001063801;PAP;1
0001063989;PAP;100
0001064232;PAP;11
0001064395;PAP;26
0001064409;PAP;47
0001065380;PAP;1
1033624;PAP;37
1064507;PAP;23
1064330;PAP FULL;49
1062842;PAP PRÓPRIO;46
1062843;PAP PRÓPRIO;51
0001030230;S2S;5
0001044817;TELEAGENTES;1
0001044936;TELEAGENTES;1
0001044939;TELEAGENTES;3
0001044940;TELEAGENTES;1
0001058183;TELEAGENTES;9
0001058207;TELEAGENTES;7
0001062205;TELEAGENTES;2
0001062253;TELEAGENTES;30
0001062616;TELEAGENTES;1
0001062617;TELEAGENTES;5
0001063791;TELEAGENTES;142
0001063920;TELEAGENTES;13
0001064059;TELEAGENTES;1
0001064101;TELEAGENTES;2
0001064178;TELEAGENTES;40
0001064237;TELEAGENTES;8
0001064685;TELEAGENTES;29
0001064713;TELEAGENTES;108
0001064726;TELEAGENTES;1
0001064881;TELEAGENTES;7
0001064903;TELEAGENTES;2
0001065032;TELEAGENTES;7
0001065284;TELEAGENTES;1
0001065358;TELEAGENTES;1
1042865;TELEAGENTES;2
1044935;TELEAGENTES;20
1048329;TELEAGENTES;1
1060811;TELEAGENTES;8
1061000;TELEAGENTES;8
1062044;TELEAGENTES;2
1064102;TELEAGENTES;9
1064234;TELEAGENTES;1
1064237;TELEAGENTES;7
1064241;TELEAGENTES;4
1064346;TELEAGENTES;1
1064687;TELEAGENTES;3
1064833;TELEAGENTES;30
0001044331;TLV ATIVO;1
0001044352;TLV ATIVO;3
0001045503;TLV ATIVO;2
0001046215;TLV ATIVO;14
0001046314;TLV ATIVO;22
0001046321;TLV ATIVO;4
0001048712;TLV ATIVO;2
0001049347;TLV ATIVO;1
0001054387;TLV ATIVO;10
0001054403;TLV ATIVO;3
0001054406;TLV ATIVO;2
0001055281;TLV ATIVO;25
0001055294;TLV ATIVO;50
0001055295;TLV ATIVO;18
0001056168;TLV ATIVO;8
0001063736;TLV ATIVO;1
0001063799;TLV ATIVO;1
0001064029;TLV ATIVO;1
1045506;TLV ATIVO;2
1049347;TLV ATIVO;1
1049349;TLV ATIVO;1
1049352;TLV ATIVO;1
1054263;TLV ATIVO;3
1054264;TLV ATIVO;13
1055273;TLV ATIVO;1
1055292;TLV ATIVO;2
1055295;TLV ATIVO;2
1055500;TLV ATIVO;2
1056153;TLV ATIVO;5
1056300;TLV ATIVO;1
0001063736;TLV PP;6
0001063746;TLV PP;16
0001063749;TLV PP;4
0001063752;TLV PP;6
1064376;TLV PP;1
0001048178;TLV RECEPTIVO;31
0001048697;TLV RECEPTIVO;78
0001048711;TLV RECEPTIVO;66
0001054343;TLV RECEPTIVO;9
0001054346;TLV RECEPTIVO;2
0001054764;TLV RECEPTIVO;16
0001054780;TLV RECEPTIVO;8
0001055802;TLV RECEPTIVO;3
0001064468;TLV RECEPTIVO;1
1047947;TLV RECEPTIVO;87
1048046;TLV RECEPTIVO;7
1048178;TLV RECEPTIVO;47
0001058633;AGENTES FIBRA;1
0001061121;AGENTES FIBRA;61
0001062752;AGENTES FIBRA;10
0001062767;AGENTES FIBRA;1
0001062879;AGENTES FIBRA;1
0001062880;AGENTES FIBRA;25
0001062881;AGENTES FIBRA;9
0001063106;AGENTES FIBRA;72
0001063168;AGENTES FIBRA;132
0001063220;AGENTES FIBRA;40
0001063275;AGENTES FIBRA;7
0001063899;AGENTES FIBRA;10
0001065235;AGENTES FIBRA;6
1063899;AGENTES FIBRA;3
1065145;AGENTES FIBRA;2
1065206;AGENTES FIBRA;2
1065239;AGENTES FIBRA;1
1065248;AGENTES FIBRA;4
0001064106;FRANQUIA;21
0001064399;FRANQUIA;93
0001045379;FRANQUIAS EMP;18
0001050435;FRANQUIAS EMP;6
0001050438;FRANQUIAS EMP;7
0001051013;FRANQUIAS EMP;1
0001051921;FRANQUIAS EMP;1
0001051982;FRANQUIAS EMP;18
0001054890;FRANQUIAS EMP;1
0001064590;FRANQUIAS EMP;5
0001064608;FRANQUIAS EMP;28
0001064609;FRANQUIAS EMP;5
0001064909;FRANQUIAS EMP;1
0001065457;FRANQUIAS EMP;4
1042334;FRANQUIAS EMP;1
1064569;FRANQUIAS EMP;7
1064570;FRANQUIAS EMP;1
1064590;FRANQUIAS EMP;2
0001030225;OUTROS;1
0001060385;OUTROS;44
0001065167;OUTROS;5
0001065223;OUTROS;1
0001065275;OUTROS;1
0001065385;OUTROS;11
0001065397;OUTROS;1
0001065403;OUTROS;4
1061310;OUTROS;3
1064716;OUTROS;1
1065077;OUTROS;13
1065378;OUTROS;10
1065472;OUTROS;74
0001038945;PAP;140
0001046387;PAP;144
0001047881;PAP;1
0001051127;PAP;148
0001051284;PAP;2
0001051861;PAP;240
0001054903;PAP;19
0001056320;PAP;1
0001058221;PAP;134
0001058646;PAP;22
0001062101;PAP;1
0001062645;PAP;208
0001063137;PAP;753
0001064059;PAP;104
1051284;PAP;297
1063954;PAP;11
0001051013;S2S;7
0001033624;TELEAGENTES;1
0001042798;TELEAGENTES;44
0001054477;TELEAGENTES;62
0001054506;TELEAGENTES;7
0001054508;TELEAGENTES;1
0001054779;TELEAGENTES;1
0001062042;TELEAGENTES;25
0001062207;TELEAGENTES;1
0001062518;TELEAGENTES;1
0001062880;TELEAGENTES;1
0001064241;TELEAGENTES;2
0001064341;TELEAGENTES;3
0001064686;TELEAGENTES;17
0001064751;TELEAGENTES;62
0001064762;TELEAGENTES;39
0001064882;TELEAGENTES;7
0001064912;TELEAGENTES;1
0001064990;TELEAGENTES;14
0001064993;TELEAGENTES;16
0001065106;TELEAGENTES;2
0001065110;TELEAGENTES;12
0001065361;TELEAGENTES;5
1045622;TELEAGENTES;3
1054508;TELEAGENTES;15
1055981;TELEAGENTES;5
1056322;TELEAGENTES;24
1058204;TELEAGENTES;10
1060844;TELEAGENTES;9
1063793;TELEAGENTES;2
1063970;TELEAGENTES;1
1063971;TELEAGENTES;3
1063973;TELEAGENTES;1
1064101;TELEAGENTES;14
1064349;TELEAGENTES;28
1064831;TELEAGENTES;2
1064882;TELEAGENTES;3
1064993;TELEAGENTES;2
1065360;TELEAGENTES;1
0001037569;TLV ATIVO;1
0001044348;TLV ATIVO;9
0001045489;TLV ATIVO;10
0001045493;TLV ATIVO;2
0001045498;TLV ATIVO;3
0001046191;TLV ATIVO;20
0001046315;TLV ATIVO;9
0001046316;TLV ATIVO;6
0001049356;TLV ATIVO;2
0001054242;TLV ATIVO;50
0001054265;TLV ATIVO;9
0001054402;TLV ATIVO;25
0001056155;TLV ATIVO;1
0001056294;TLV ATIVO;3
0001056300;TLV ATIVO;2
0001056310;TLV ATIVO;5
0001061159;TLV ATIVO;1
1041066;TLV ATIVO;1
1044352;TLV ATIVO;4
1045493;TLV ATIVO;2
1046199;TLV ATIVO;2
1046314;TLV ATIVO;2
1046317;TLV ATIVO;5
1049022;TLV ATIVO;1
1049356;TLV ATIVO;3
1054242;TLV ATIVO;36
1054366;TLV ATIVO;1
1055285;TLV ATIVO;9
1056168;TLV ATIVO;1
1056305;TLV ATIVO;1
0001053301;TLV PP;1
0001064376;TLV PP;2
1063729;TLV PP;5
1063752;TLV PP;1
0001048184;TLV RECEPTIVO;3
0001048186;TLV RECEPTIVO;6
0001048187;TLV RECEPTIVO;45
0001048712;TLV RECEPTIVO;25
0001054296;TLV RECEPTIVO;9
0001054774;TLV RECEPTIVO;31
0001057978;TLV RECEPTIVO;2
1048712;TLV RECEPTIVO;25
1048715;TLV RECEPTIVO;5
1054336;TLV RECEPTIVO;2
0001054854;WEB - AFILIADOS;5
0001056383;WEB - AFILIADOS;1
0001057802;WEB - AFILIADOS;1
0001057821;WEB - AFILIADOS;2
0001064193;WEB - AFILIADOS;2
1044257;WEB - AFILIADOS;35
1054865;WEB - AFILIADOS;121
1055110;WEB - AFILIADOS;1
1057827;WEB - AFILIADOS;6
1062351;WEB - AFILIADOS;4
1063080;WEB - AFILIADOS;14
1064182;WEB - AFILIADOS;12
1064194;WEB - AFILIADOS;15
1060867;WEB - FORM BO CRV;2
1060868;WEB - FORM BO CRV;6
1060881;WEB - FORM BO CRV;2
1054005;WEB - WHATSAPP BOT;4
0001058283;WEB - WHATSAPP HUMANO;1
1058288;WEB - WHATSAPP HUMANO;2
;AGENTES FIBRA;7
0001052757;AGENTES FIBRA;2
0001054779;AGENTES FIBRA;2
0001061151;AGENTES FIBRA;1
0001062708;AGENTES FIBRA;293
0001062746;AGENTES FIBRA;28
0001062803;AGENTES FIBRA;1
0001062947;AGENTES FIBRA;35
0001063024;AGENTES FIBRA;270
0001063276;AGENTES FIBRA;2
0001063763;AGENTES FIBRA;18
0001063764;AGENTES FIBRA;116
0001063791;AGENTES FIBRA;1
0001063800;AGENTES FIBRA;52
0001063801;AGENTES FIBRA;50
0001063904;AGENTES FIBRA;70
0001063905;AGENTES FIBRA;34
0001063964;AGENTES FIBRA;1
0001065142;AGENTES FIBRA;1
0001065153;AGENTES FIBRA;2
0001065198;AGENTES FIBRA;1
0001065216;AGENTES FIBRA;39
0001065244;AGENTES FIBRA;135
0001065283;AGENTES FIBRA;11
1061125;AGENTES FIBRA;1
1061267;AGENTES FIBRA;5
1063235;AGENTES FIBRA;1
1063771;AGENTES FIBRA;4
1064245;FRANQUIA;6
0001039325;FRANQUIAS EMP;26
0001042306;FRANQUIAS EMP;40
0001042331;FRANQUIAS EMP;10
0001043791;FRANQUIAS EMP;15
0001045334;FRANQUIAS EMP;14
0001047886;FRANQUIAS EMP;5
0001049367;FRANQUIAS EMP;26
0001057022;FRANQUIAS EMP;2
0001063512;FRANQUIAS EMP;71
0001063799;FRANQUIAS EMP;1
0001064566;FRANQUIAS EMP;6
0001064570;FRANQUIAS EMP;6
1045301;FRANQUIAS EMP;5
1045303;FRANQUIAS EMP;1
1050437;FRANQUIAS EMP;2
0001045619;OUTROS;4
0001046192;OUTROS;2
0001046195;OUTROS;2
0001054871;OUTROS;3
0001064632;OUTROS;1
0001064635;OUTROS;1
0001064757;OUTROS;2
0001065312;OUTROS;9
0001065356;OUTROS;1
0001065379;OUTROS;2
0001065418;OUTROS;22
1056126;OUTROS;2
1061300;OUTROS;1
1064482;OUTROS;12
1064571;OUTROS;2
1064634;OUTROS;3
1064755;OUTROS;3
1064859;OUTROS;2
1065213;OUTROS;1
1065381;OUTROS;22
1065384;OUTROS;3
1065386;OUTROS;3
1065391;OUTROS;5
1065409;OUTROS;6
1065419;OUTROS;3
1065426;OUTROS;1
;PAP;10
0001039545;PAP;133
0001042306;PAP;1
0001043524;PAP;810
0001051761;PAP;23
0001051776;PAP;12
0001055689;PAP;93
0001062789;PAP;21
0001063226;PAP;1
0001063542;PAP;212
0001063949;PAP;41
0001064032;PAP;21
0001064397;PAP;1
0001065247;PAP;1
1063226;PAP;22
1064232;PAP;130
1064273;PAP;96
0001062674;PAP PRÓPRIO;1
0001044935;TELEAGENTES;30
0001045301;TELEAGENTES;1
0001047947;TELEAGENTES;1
0001055294;TELEAGENTES;1
0001055982;TELEAGENTES;10
0001056380;TELEAGENTES;1
0001058187;TELEAGENTES;1
0001058205;TELEAGENTES;9
0001058633;TELEAGENTES;1
0001060813;TELEAGENTES;31
0001060885;TELEAGENTES;1
0001060982;TELEAGENTES;91
0001062039;TELEAGENTES;5
0001062254;TELEAGENTES;2
0001062612;TELEAGENTES;66
0001063746;TELEAGENTES;1
0001063752;TELEAGENTES;1
0001063801;TELEAGENTES;1
0001063924;TELEAGENTES;11
0001063947;TELEAGENTES;34
0001063993;TELEAGENTES;118
0001064100;TELEAGENTES;29
0001064790;TELEAGENTES;1
0001064830;TELEAGENTES;26
0001064833;TELEAGENTES;2
0001064910;TELEAGENTES;12
0001065357;TELEAGENTES;4
1044804;TELEAGENTES;16
1044936;TELEAGENTES;1
1054476;TELEAGENTES;2
1054478;TELEAGENTES;1
1060813;TELEAGENTES;18
1060980;TELEAGENTES;4
1062042;TELEAGENTES;3
1062257;TELEAGENTES;12
1062620;TELEAGENTES;3
1063264;TELEAGENTES;1
1063269;TELEAGENTES;1
1064238;TELEAGENTES;8
1064710;TELEAGENTES;1
1064989;TELEAGENTES;40
1065108;TELEAGENTES;36
1065109;TELEAGENTES;9
1065358;TELEAGENTES;2
0001037577;TLV ATIVO;7
0001043555;TLV ATIVO;1
0001045480;TLV ATIVO;5
0001045500;TLV ATIVO;6
0001046183;TLV ATIVO;1
0001046194;TLV ATIVO;6
0001046322;TLV ATIVO;5
0001046325;TLV ATIVO;6
0001048697;TLV ATIVO;2
0001051861;TLV ATIVO;1
0001054366;TLV ATIVO;2
0001054371;TLV ATIVO;5
0001054381;TLV ATIVO;1
0001055279;TLV ATIVO;23
0001055292;TLV ATIVO;6
0001056146;TLV ATIVO;2
0001056156;TLV ATIVO;4
0001056167;TLV ATIVO;23
0001056192;TLV ATIVO;1
0001062253;TLV ATIVO;1
0001062322;TLV ATIVO;1
0001062789;TLV ATIVO;1
0001062991;TLV ATIVO;1
1044346;TLV ATIVO;3
1044349;TLV ATIVO;2
1045480;TLV ATIVO;3
1046192;TLV ATIVO;19
1046325;TLV ATIVO;4
1054260;TLV ATIVO;29
1054265;TLV ATIVO;9
1054266;TLV ATIVO;48
1055279;TLV ATIVO;7
1056172;TLV ATIVO;33
1056181;TLV ATIVO;4
1064006;TLV ATIVO;1
1063740;TLV PP;4
0001043665;AGENTES FIBRA;1
0001054898;AGENTES FIBRA;1
0001054923;AGENTES FIBRA;2
0001057022;AGENTES FIBRA;8
0001061117;AGENTES FIBRA;31
0001061156;AGENTES FIBRA;21
0001061157;AGENTES FIBRA;61
0001062101;AGENTES FIBRA;2
0001062248;AGENTES FIBRA;2
0001062399;AGENTES FIBRA;1
0001062711;AGENTES FIBRA;40
0001062847;AGENTES FIBRA;14
0001062878;AGENTES FIBRA;31
0001062943;AGENTES FIBRA;16
0001062988;AGENTES FIBRA;33
0001063047;AGENTES FIBRA;32
0001063049;AGENTES FIBRA;22
0001064179;AGENTES FIBRA;1
0001065157;AGENTES FIBRA;4
1062603;AGENTES FIBRA;42
1062881;AGENTES FIBRA;44
0001039308;FRANQUIAS EMP;34
0001039309;FRANQUIAS EMP;58
0001040803;FRANQUIAS EMP;2
0001045301;FRANQUIAS EMP;62
0001047292;FRANQUIAS EMP;19
0001049037;FRANQUIAS EMP;1
0001063511;FRANQUIAS EMP;16
0001064565;FRANQUIAS EMP;2
1042331;FRANQUIAS EMP;3
1047294;FRANQUIAS EMP;1
0001044935;OUTROS;1
0001060981;OUTROS;1
0001064610;OUTROS;1
0001064758;OUTROS;4
0001065076;OUTROS;4
0001065079;OUTROS;2
0001065199;OUTROS;1
0001065344;OUTROS;26
0001065426;OUTROS;14
1064460;OUTROS;1
1064477;OUTROS;25
1064479;OUTROS;2
1064481;OUTROS;17
1064997;OUTROS;1
1065127;OUTROS;1
0001044565;PAP;13
0001045623;PAP;1
0001047527;PAP;18
0001050416;PAP;10
0001050695;PAP;185
0001051976;PAP;1088
0001053301;PAP;65
0001054933;PAP;4
0001057800;PAP;187
0001060811;PAP;2
0001061847;PAP;102
0001062248;PAP;156
0001063301;PAP;102
0001063791;PAP;1
0001063798;PAP;40
0001065167;PAP;1
0001065190;PAP;1
0001065517;PAP;3
1044806;PAP;171
1050416;PAP;158
1056398;PAP;189
1062531;PAP;36
0001062669;PAP PRÓPRIO;13
0001045622;TELEAGENTES;3
0001048327;TELEAGENTES;8
0001051742;TELEAGENTES;2
0001055981;TELEAGENTES;54
0001060809;TELEAGENTES;1
0001060811;TELEAGENTES;34
0001060841;TELEAGENTES;26
0001060842;TELEAGENTES;8
0001060980;TELEAGENTES;179
0001060996;TELEAGENTES;22
0001060999;TELEAGENTES;1
0001061275;TELEAGENTES;3
0001062206;TELEAGENTES;3
0001062768;TELEAGENTES;1
0001064102;TELEAGENTES;8
0001064142;TELEAGENTES;1
0001064753;TELEAGENTES;20
0001064763;TELEAGENTES;5
0001064831;TELEAGENTES;79
0001064834;TELEAGENTES;28
0001064837;TELEAGENTES;11
0001065033;TELEAGENTES;34
0001065105;TELEAGENTES;2
0001065355;TELEAGENTES;110
0001065386;TELEAGENTES;1
1045623;TELEAGENTES;5
1054477;TELEAGENTES;3
1054507;TELEAGENTES;10
1058207;TELEAGENTES;1
1062250;TELEAGENTES;18
1062253;TELEAGENTES;8
1062513;TELEAGENTES;2
1062616;TELEAGENTES;5
1063947;TELEAGENTES;8
1064712;TELEAGENTES;5
1064881;TELEAGENTES;4
1064884;TELEAGENTES;6
1064886;TELEAGENTES;2
1065105;TELEAGENTES;2
1065359;TELEAGENTES;9
0001037109;TLV ATIVO;1
0001046192;TLV ATIVO;35
0001046195;TLV ATIVO;26
0001054260;TLV ATIVO;60
0001054262;TLV ATIVO;2
0001054360;TLV ATIVO;2
0001054375;TLV ATIVO;9
0001055285;TLV ATIVO;4
0001056172;TLV ATIVO;19
0001056194;TLV ATIVO;6
0001056195;TLV ATIVO;6
0001064023;TLV ATIVO;2
1037577;TLV ATIVO;2
1041069;TLV ATIVO;1
1045489;TLV ATIVO;1
1045500;TLV ATIVO;2
1046195;TLV ATIVO;21
1046315;TLV ATIVO;1
1049015;TLV ATIVO;1
1049021;TLV ATIVO;1
1056146;TLV ATIVO;1
1056162;TLV ATIVO;13
1056165;TLV ATIVO;2
1056185;TLV ATIVO;7
1056195;TLV ATIVO;6
1056296;TLV ATIVO;1
1064026;TLV ATIVO;1
0001062098;TLV PP;1
0001063729;TLV PP;13
0001063730;TLV PP;1
0001063740;TLV PP;1
0001063751;TLV PP;45
0001064354;TLV PP;2
1064354;TLV PP;2
0001044817;TLV RECEPTIVO;2
0001055817;TLV RECEPTIVO;2
0001057984;TLV RECEPTIVO;2
1048187;TLV RECEPTIVO;53
1048695;TLV RECEPTIVO;30
1048697;TLV RECEPTIVO;55
1055804;TLV RECEPTIVO;7
1055817;TLV RECEPTIVO;5
1057981;TLV RECEPTIVO;1
0001054855;WEB - AFILIADOS;6
0001057813;WEB - AFILIADOS;4
1044261;WEB - AFILIADOS;10
1054863;WEB - AFILIADOS;34
1057801;WEB - AFILIADOS;140
1057813;WEB - AFILIADOS;38
1062339;WEB - AFILIADOS;3
1062348;WEB - AFILIADOS;1
1062350;WEB - AFILIADOS;8
1063101;WEB - AFILIADOS;1
1060873;WEB - FORM BO CRV;11
1054446;WEB - FORM LEGADO;1
0001053998;WEB - WHATSAPP BOT;1
0001054001;WEB - WHATSAPP BOT;2
0001058273;WEB - WHATSAPP HUMANO;2
0001058282;WEB - WHATSAPP HUMANO;10
1058273;WEB - WHATSAPP HUMANO;7
1058285;WEB - WHATSAPP HUMANO;10
;;16
0001058208;AGENTES FIBRA;1
0001060811;AGENTES FIBRA;1
0001061124;AGENTES FIBRA;14
0001061153;AGENTES FIBRA;1
0001061158;AGENTES FIBRA;8
0001061159;AGENTES FIBRA;315
0001061269;AGENTES FIBRA;2
0001062603;AGENTES FIBRA;10
0001062883;AGENTES FIBRA;1
0001062942;AGENTES FIBRA;360
0001062987;AGENTES FIBRA;40
0001062991;AGENTES FIBRA;94
0001063079;AGENTES FIBRA;1
0001063131;AGENTES FIBRA;11
0001063162;AGENTES FIBRA;2
0001063180;AGENTES FIBRA;34
0001063235;AGENTES FIBRA;12
0001063288;AGENTES FIBRA;148
0001063841;AGENTES FIBRA;56
0001064178;AGENTES FIBRA;1
0001065141;AGENTES FIBRA;1
0001065208;AGENTES FIBRA;15
0001065210;AGENTES FIBRA;7
0001065211;AGENTES FIBRA;12
0001065243;AGENTES FIBRA;401
0001065265;AGENTES FIBRA;39
0001065332;AGENTES FIBRA;6
0001065517;AGENTES FIBRA;1
1062604;AGENTES FIBRA;1
1062990;AGENTES FIBRA;22
1063162;AGENTES FIBRA;1
1063772;AGENTES FIBRA;2
1064088;AGENTES FIBRA;6
0001014318;FRANQUIA;2
0001046199;FRANQUIA;1
1064087;FRANQUIA;1
0001042334;FRANQUIAS EMP;11
0001045302;FRANQUIAS EMP;54
0001045376;FRANQUIAS EMP;110
0001047293;FRANQUIAS EMP;3
0001047294;FRANQUIAS EMP;3
0001049269;FRANQUIAS EMP;3
0001063510;FRANQUIAS EMP;93
1045302;FRANQUIAS EMP;7
1047293;FRANQUIAS EMP;2
